method,problem,dim,bootstrap_arq_iters,delta,stagnationtrigger,runs,mean_f,stdev_f,min_f,mean_evals,stdev_evals,success_rate
arq2,tersoffc,24,8.000,0.150,30.000,30,-32.7955736334,0.6088370092,-34.0667533577,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,1.000,0.200,30.000,30,-32.7829919736,0.6384971400,-34.4344677199,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,2.000,0.200,30.000,30,-32.8004635883,0.4901913313,-33.7297617538,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,3.000,0.200,30.000,30,-32.7810866959,0.5993948693,-33.7767450133,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,5.000,0.200,30.000,30,-33.1400662974,0.5225467997,-33.8647610752,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,8.000,0.200,30.000,30,-32.8171601038,0.5473267164,-34.0649034243,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,1.000,0.250,30.000,30,-32.8091700351,0.6203847330,-34.4344677199,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,2.000,0.250,30.000,30,-32.7827592500,0.4688117721,-33.7297617538,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,3.000,0.250,30.000,30,-32.7868202026,0.5981584932,-33.7767450133,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,5.000,0.250,30.000,30,-32.9924176985,0.5701878098,-33.8703146673,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,8.000,0.250,30.000,30,-32.8016955861,0.5418794177,-34.0917897644,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,1.000,0.050,36.000,30,-32.8777664270,0.5302839585,-33.9407398118,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,2.000,0.050,36.000,30,-33.0350033193,0.4437271038,-34.1820443303,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,3.000,0.050,36.000,30,-32.8308684326,0.7039506791,-34.0825293102,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,5.000,0.050,36.000,30,-33.0857040709,0.7015109399,-33.9860447167,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,8.000,0.050,36.000,30,-32.8506936002,0.5441870641,-33.9740895148,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,1.000,0.100,36.000,30,-32.8776351388,0.5301698161,-33.9407398118,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,2.000,0.100,36.000,30,-33.0350033193,0.4437271038,-34.1820443303,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,3.000,0.100,36.000,30,-32.8308684326,0.7039506791,-34.0825293102,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,5.000,0.100,36.000,30,-33.0857040709,0.7015109399,-33.9860447167,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,8.000,0.100,36.000,30,-32.8322567613,0.5532270132,-33.9740895148,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,1.000,0.150,36.000,30,-32.8655627453,0.5456319798,-33.9407398118,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,2.000,0.150,36.000,30,-33.0350671464,0.4437584270,-34.1820443303,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,3.000,0.150,36.000,30,-32.8278082496,0.7058973537,-34.0825293102,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,5.000,0.150,36.000,30,-33.0929221052,0.6986031866,-33.9860447167,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,8.000,0.150,36.000,30,-32.8102217718,0.5295547115,-33.9740895148,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,1.000,0.200,36.000,30,-32.8575897747,0.5398592288,-33.9407398118,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,2.000,0.200,36.000,30,-33.0363832370,0.4464029817,-34.1850623541,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,3.000,0.200,36.000,30,-32.8537257385,0.6850946587,-34.0825293102,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,5.000,0.200,36.000,30,-33.1580205254,0.6395011563,-33.9860447167,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,8.000,0.200,36.000,30,-32.8164212327,0.5473308620,-33.9740895148,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,1.000,0.250,36.000,30,-32.9011162261,0.5389541302,-33.9407398118,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,2.000,0.250,36.000,30,-32.9853489142,0.4122469243,-33.7294663859,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,3.000,0.250,36.000,30,-32.9015006865,0.7739474932,-34.0686816697,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,5.000,0.250,36.000,30,-32.8486603279,0.6682424046,-33.8123120822,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,8.000,0.250,36.000,30,-32.7167960060,0.5834895433,-34.0015635761,150000.0000000000,0.0000000000,100.000
